CUSTOMERNAME,PHONE,ADDRESS,CONTACTLASTNAME,CONTACTFIRSTNAME,POSTALCODE,customer_id,city_id,state_id,territory_id,country_id
Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy, Monitor Money Building, 815 Pacific Hwy",Huxley,Adrian,2067,20,16,1,1,5
FunGiftIdeas.com,5085552555,1785 First Street,Benitez,Violeta,50553,21,17,8,2,3
"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Devon,Elizabeth,WX1 6LT,22,11,1,1,1
Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Freyre,Diego,28034,23,18,6,0,0
"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Berglund,Christina,S-958 22,24,19,1,1,6
"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Sommer,Mart¡n,28023,25,20,1,1,7
"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Natividad,Eric,79903,26,14,1,1,2
Classic Legends Inc.,2125558493,"5905 Pompton St., 5905 Pompton St.",Hernandez,Maria,10022,27,21,1,1,8
"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,Calaghan,Tony,4101,28,20,1,1,7
"Classic Gift Ideas, Inc",2155554695,782 First Street,Cervantes,Francisca,71270,29,5,2,0,0
"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Saveley,Mary,69004,30,22,1,3,9
Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Tannamuri,Yoshi,V3F 2K1,31,0,0,0,0
West Coast Collectables Co.,3105553722,3675 Furth Circle,Thompson,Steve,94019,32,23,9,2,3
Cambridge Collectables Co.,6175555555,4658 Baden Av.,Tseng,Kyung,51247,33,24,7,0,0
Super Scale Inc.,2035559545,567 North Pendale Street,Murphy,Leslie,97823,34,25,1,1,1
"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Shimamura,Akiko,106-0032,35,26,10,0,10
Amica Models & Co.,011-4988555,Via Monte Bianco 34,Accorti,Paolo,10100,36,27,2,0,0
Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Larsson,Maria,S-844 67,37,12,6,0,0
Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Tonini,Daniel,78000,38,28,5,0,0
Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Nelson,Valarie,97562,39,29,11,3,11
Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Young,Valarie,62005,40,17,8,2,3
Collectables For Less Inc.,6175558555,7825 Douglas Av.,Nelson,Allen,58339,41,30,1,1,12
"Anna's Decorations, Ltd",02 9936 8555,"201 Miller Street, 201 Miller Street",O'Hara,Anna,2060,42,31,1,1,8
Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Fresnisre,Jean,H1J 1C3,43,32,1,1,1
Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Kentary,Mory,530-0003,44,33,2,0,0
Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Hernandez,Rosa,71270,45,34,12,0,0
Atelier graphique,40.32.2555,"54, rue Royale",Schmitt,Carine,44000,46,4,2,0,0
Mini Classics,9145554562,3758 North Pendale Street,Frick,Steve,24067,47,8,3,2,3
Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Petersen,Jytte,1734,48,33,2,0,0
"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,Brown,Ann,WX3 6FW,49,35,6,0,0
Mini Creations Ltd.,5085559555,4575 Hillside Dr.,Tam,Wing C,50553,50,4,2,0,0
Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Roulet,Annette,31000,51,36,8,2,3
"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,Hardy,Thomas,WA1 1DP,52,37,13,0,10
Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Saavedra,Eduardo,8022,53,20,1,1,7
"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,Chandler,Michael,,54,0,0,0,0
Collectable Mini Designs Co.,7605558146,361 Furth Circle,Thompson,Valarie,91217,55,8,3,2,3
Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Dewey,Catherine,B-1180,56,2,1,1,1
"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Lincoln,Elizabeth,T2F 8M4,57,3,2,0,0
Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Yoshido,Juri,51003,58,4,2,0,0
giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Bennett,Helen,PO31 7PJ,59,5,2,0,0
"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Koskitalo,Pirkko,90110,60,6,1,1,1
The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,Frick,Sue,94217,61,7,1,1,2
"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Bertrand,Marie,75012,62,4,2,0,0
Mini Auto Werke,7675-3555,Kirchgasse 6,Mendel,Roland,8010,63,38,14,3,11
Diecast Collectables,6175552555,6251 Ingle Ln.,Franco,Valarie,51003,64,8,3,2,3
Handji Gifts& Co,+65 224 1555,"Village Close - 106 Linden Road Sandown, Village Close - 106 Linden Road Sandown",Victorino,Wendy,69045,65,24,7,0,0
Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Cruz,Arnold,1227 MM,66,9,4,0,0
Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Lebihan,Laurence,13008,67,10,5,0,0
"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Pfalzheim,Henriette,50739,68,11,1,1,1
"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Holz,Michael,1203,69,12,6,0,0
L'ordine Souveniers,0522-556555,Strada Provinciale 124,Moroni,Maurizio,42100,70,11,1,1,1
Online Mini Collectables,6175557555,7635 Spinnaker Dr.,Barajas,Miguel,58339,71,39,0,0,0
"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,Keitel,Roland,60528,72,15,7,0,0
Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Suominen,Kalle,FIN-02271,73,0,0,0,0
Muscle Machine Inc,2125557413,"4092 Furth Circle, 4092 Furth Circle",Young,Jeff,10022,74,29,11,3,11
"Clover Collections, Co.",+353 1862 1555,"25 Maiden Lane, 25 Maiden Lane",Cassidy,Dean,2,75,17,8,2,3
CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Fernandez,Jesus,28023,76,23,9,2,3
"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Ashworth,Victoria,EC2 5NT,77,18,6,0,0
Heintze Collectables,86 21 3555,Smagsloget 45,Ibsen,Palle,8200,78,2,1,1,1
Microscale Inc.,2125551957,"5290 North Pendale Street, 5290 North Pendale Street",Kuo,Kee,10022,79,20,1,1,7
Boards & Toys Co.,3105552373,4097 Douglas Av.,Young,Leslie,92561,80,0,0,0,0
"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",Roel,Jose Pedro,41101,81,8,3,2,3
Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Taylor,Sue,94217,82,2,1,1,1
Mini Caravy,88.60.1555,"24, place Kluber",Citeaux,Frederique,67000,83,3,2,0,0
Signal Gift Stores,7025551838,8489 Strong St.,King,Sue,83030,84,4,2,0,0
"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",Klaeboe,Jan,N 0106,85,5,2,0,0
Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Rovelli,Giovanni,24100,86,6,1,1,1
"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Connery,Sean,3150,87,7,1,1,2
Gift Ideas Corp.,2035554407,2440 Pompton St.,Lewis,Dan,97561,88,4,2,0,0
"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Hansastr. 15,Donnermeyer,Michael,80686,89,38,14,3,11
Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",Cartrain,Pascale,B-6000,90,8,3,2,3
Auto-Moto Classics Inc.,6175558428,16780 Pompton St.,Taylor,Leslie,58339,91,0,0,0,0
